,mu,seed,train_acc,val_acc,test_acc,icd0,icd1,icd2
0,0.0,0,1.0,0.788,0.807,0.4585,0.5237,0.4606
1,0.2,0,1.0,0.808,0.825,0.4254,0.5295,0.4311
2,0.4,0,1.0,0.816,0.832,0.3912,0.5266,0.4038
3,0.6,0,1.0,0.808,0.839,0.3636,0.5195,0.3821
4,0.8,0,1.0,0.8,0.838,0.3436,0.5169,0.3626
5,1.0,0,1.0,0.8,0.833,0.3252,0.5357,0.3455
6,1.2,0,1.0,0.798,0.824,0.3192,0.5292,0.3389
7,1.4,0,1.0,0.688,0.717,0.3214,0.6015,0.3391
8,1.6,0,0.95,0.422,0.407,0.3035,0.5283,0.3343
9,1.8,0,0.9429,0.4,0.394,0.2948,0.5246,0.3274
10,2.0,0,0.9143,0.376,0.375,0.2928,0.522,0.3401
